customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Actual_Churn,Predicted_Churn,Churn_Probability%,Risk_Level
5016-LIPDW,Male,0,Yes,Yes,57,No,One year,Mailed check,19.4,1061.6,0,0,1.945074915265066,Low Risk
8204-TIFGJ,Female,0,No,No,23,No,Month-to-month,Bank transfer (automatic),20.3,470.6,0,0,16.917259243600714,Low Risk
7684-XSZIY,Male,0,Yes,Yes,72,No,Two year,Bank transfer (automatic),24.3,1643.25,0,0,0.6293683522501283,Low Risk
0440-QEXBZ,Female,0,No,No,44,DSL,Month-to-month,Mailed check,50.15,2139.1,0,0,26.453623679659238,Low Risk
6285-FTQBF,Male,0,Yes,Yes,72,No,Two year,Credit card (automatic),25.55,1867.7,0,0,0.7127301560365846,Low Risk
3707-GNWHM,Male,0,No,No,1,Fiber optic,Month-to-month,Mailed check,74.25,74.25,1,1,88.93101352233779,High Risk
0019-GFNTW,Female,0,No,No,56,DSL,Two year,Bank transfer (automatic),45.05,2560.1,0,0,2.3941941973332415,Low Risk
8988-ECPJR,Female,1,Yes,Yes,34,Fiber optic,Month-to-month,Mailed check,79.6,2718.3,1,0,49.62098105633088,Medium Risk
9397-TZSHA,Female,0,No,No,69,No,Two year,Credit card (automatic),24.6,1678.05,0,0,1.1805022287166007,Low Risk
1989-PRJHP,Male,1,Yes,No,27,Fiber optic,Month-to-month,Electronic check,75.5,1893.95,1,1,77.29003425280575,High Risk
3587-PMCOY,Male,0,No,No,10,Fiber optic,One year,Electronic check,98.9,1064.95,0,1,72.97950804022464,High Risk
8292-FRFZQ,Female,0,No,No,39,DSL,One year,Bank transfer (automatic),41.15,1700.9,0,0,4.909470998994777,Low Risk
1775-KWJKQ,Male,0,Yes,Yes,72,DSL,Two year,Credit card (automatic),89.85,6562.9,0,0,2.13225883223544,Low Risk
6137-MFAJN,Female,0,No,No,48,DSL,Month-to-month,Electronic check,44.8,2104.55,0,0,25.612485564492225,Low Risk
1395-WSWXR,Male,0,No,No,24,No,Two year,Mailed check,20.75,487.05,0,0,2.5867851880898343,Low Risk
9046-JBFWA,Male,0,No,Yes,27,No,Month-to-month,Mailed check,19.15,537.35,0,0,10.192056619883799,Low Risk
9871-ELEYA,Female,0,No,Yes,34,DSL,Two year,Credit card (automatic),67.65,2339.3,0,0,2.8245352995174633,Low Risk
6712-OAWRH,Female,1,No,No,26,Fiber optic,Month-to-month,Electronic check,91.25,2351.8,1,1,81.33687625895662,High Risk
2361-UPSND,Female,0,Yes,No,46,DSL,One year,Mailed check,70.6,3231.05,0,0,2.8373663166321585,Low Risk
4817-KEQSP,Female,0,Yes,Yes,71,No,Two year,Bank transfer (automatic),19.85,1326.35,0,0,0.4142784776472023,Low Risk
2842-BCQGE,Male,0,No,No,43,Fiber optic,Month-to-month,Credit card (automatic),75.35,3161.4,0,1,55.0786963540105,Medium Risk
4190-MFLUW,Female,0,Yes,Yes,10,DSL,Month-to-month,Credit card (automatic),55.2,528.35,1,0,36.18857776439881,Low Risk
1640-PLFMP,Female,0,No,No,1,Fiber optic,Month-to-month,Electronic check,70.25,70.25,0,1,88.5772291575634,High Risk
6635-CPNUN,Male,0,Yes,No,28,Fiber optic,Month-to-month,Credit card (automatic),96.6,2684.35,0,1,66.57417289035948,Medium Risk
6620-HVDUJ,Male,0,No,No,24,DSL,Month-to-month,Bank transfer (automatic),60.45,1440.75,0,0,10.302709178972998,Low Risk
4706-AXVKM,Female,1,No,No,11,Fiber optic,Month-to-month,Credit card (automatic),84.8,906.85,1,1,89.36301348232108,High Risk
5495-GPSRW,Male,0,No,No,20,No,Two year,Mailed check,19.7,419.4,0,0,4.561676020219723,Low Risk
6847-KJLTS,Female,1,Yes,No,58,Fiber optic,Month-to-month,Bank transfer (automatic),100.4,5749.8,0,1,65.1275859092918,Medium Risk
1023-BQXZE,Male,0,No,No,57,DSL,Two year,Bank transfer (automatic),74.35,4317.35,0,0,7.704928619288194,Low Risk
4806-DXQCE,Female,1,Yes,No,70,Fiber optic,Two year,Electronic check,113.65,7714.65,0,0,16.75377820135826,Low Risk
5360-XGYAZ,Male,0,Yes,Yes,72,DSL,Two year,Bank transfer (automatic),65.65,4664.5,0,0,2.463255229909174,Low Risk
8631-WUXGY,Female,0,No,Yes,46,Fiber optic,Month-to-month,Electronic check,99.8,4391.25,0,1,53.55525653416164,Medium Risk
3780-YVMFA,Female,0,Yes,Yes,8,DSL,Month-to-month,Electronic check,68.55,564.35,0,1,67.28271354972648,Medium Risk
7971-HLVXI,Male,0,Yes,Yes,72,Fiber optic,Two year,Credit card (automatic),84.5,6130.85,0,0,14.052567539548896,Low Risk
9842-EFSYY,Female,0,No,Yes,4,DSL,Month-to-month,Mailed check,57.2,223.75,0,1,71.55599066602598,High Risk
0277-BKSQP,Male,0,Yes,Yes,8,DSL,Month-to-month,Electronic check,54.4,475.1,0,1,70.89867394305693,High Risk
9154-QDGTH,Male,0,Yes,Yes,43,Fiber optic,One year,Credit card (automatic),104.3,4451.85,0,0,35.03743220025996,Low Risk
1208-NBVFH,Male,0,Yes,Yes,20,DSL,Month-to-month,Electronic check,49.6,939.8,0,0,40.33053219424516,Medium Risk
0866-QLSIR,Female,0,No,No,34,DSL,One year,Mailed check,64.4,2088.75,1,0,7.743696048857612,Low Risk
9667-TKTVZ,Female,0,No,No,2,DSL,Month-to-month,Mailed check,54.35,117.05,0,1,67.95404303112399,Medium Risk
0611-DFXKO,Male,0,Yes,No,20,Fiber optic,Month-to-month,Mailed check,89.0,1820.45,1,1,73.7161829526014,High Risk
8040-MNRTF,Female,0,No,No,1,Fiber optic,Month-to-month,Mailed check,71.1,71.1,0,1,78.23115565430905,High Risk
8107-KNCIM,Male,1,Yes,No,14,Fiber optic,Month-to-month,Electronic check,75.1,1013.35,0,1,81.86037881797074,High Risk
8938-UMKPI,Female,0,No,No,47,Fiber optic,Month-to-month,Electronic check,106.4,5127.95,1,1,71.57045951209795,High Risk
0670-KDOMA,Female,0,No,No,1,No,Month-to-month,Mailed check,20.25,20.25,0,1,50.71727961395155,Medium Risk
0428-IKYCP,Male,0,Yes,No,22,Fiber optic,Month-to-month,Bank transfer (automatic),87.0,1850.65,0,1,65.57468071098342,Medium Risk
0506-YLVKJ,Male,0,Yes,Yes,46,No,Two year,Mailed check,20.2,917.45,0,0,1.0186257545848358,Low Risk
3133-PZNSR,Male,0,Yes,Yes,72,Fiber optic,Two year,Credit card (automatic),97.75,6991.6,0,0,5.514353242091749,Low Risk
2335-GSODA,Male,0,No,Yes,23,DSL,Two year,Mailed check,40.1,857.75,0,0,3.419500042732393,Low Risk
0970-ETWGE,Male,0,No,No,1,Fiber optic,Month-to-month,Electronic check,89.55,89.55,1,1,93.49875615927431,High Risk
9576-SYUHJ,Male,0,No,No,37,Fiber optic,Month-to-month,Electronic check,91.15,3369.25,0,1,63.54958042670512,Medium Risk
7606-BPHHN,Male,0,No,No,72,No,Two year,Credit card (automatic),19.8,1468.75,0,0,0.9247318591937164,Low Risk
3108-PCCGG,Male,1,Yes,No,72,DSL,Two year,Credit card (automatic),84.45,5899.85,0,0,4.459154714689417,Low Risk
6022-UGGSO,Female,1,No,No,32,Fiber optic,Month-to-month,Electronic check,74.4,2276.95,1,1,59.938139997855544,Medium Risk
3506-OVLKD,Male,0,No,No,35,No,One year,Bank transfer (automatic),26.2,954.9,0,0,6.351788121523382,Low Risk
7473-ZBDSN,Female,0,Yes,Yes,14,No,Two year,Mailed check,18.8,255.55,0,0,3.163007849403042,Low Risk
6766-HFKLA,Female,0,Yes,No,56,Fiber optic,Two year,Bank transfer (automatic),103.2,5744.35,0,0,23.184633748488945,Low Risk
9139-WQQDY,Female,0,Yes,Yes,49,Fiber optic,One year,Mailed check,100.45,4941.8,1,0,39.80705352082896,Low Risk
4846-WHAFZ,Female,1,Yes,No,37,Fiber optic,Month-to-month,Electronic check,76.5,2868.15,1,1,68.41194081390518,Medium Risk
8896-BQTTI,Male,0,No,No,1,No,Month-to-month,Mailed check,25.0,25.0,0,1,60.933547329996195,Medium Risk
3727-RJMEO,Male,0,Yes,No,6,Fiber optic,Month-to-month,Electronic check,82.85,460.25,1,1,93.00886323636544,High Risk
3889-VWBID,Male,0,Yes,Yes,68,DSL,Two year,Bank transfer (automatic),82.85,5776.45,0,0,1.2446423029926406,Low Risk
7688-AWMDX,Male,0,Yes,No,71,DSL,Two year,Bank transfer (automatic),54.5,3778.2,0,0,0.840603982409748,Low Risk
6752-APNJL,Male,0,Yes,Yes,42,DSL,Month-to-month,Mailed check,54.5,2301.15,0,0,6.531134235981238,Low Risk
1270-XKUCC,Female,0,Yes,Yes,30,No,Two year,Mailed check,19.7,599.25,0,0,1.7624882917047089,Low Risk
1024-GUALD,Female,0,Yes,No,1,DSL,Month-to-month,Electronic check,24.8,24.8,1,1,86.76844377496602,High Risk
6997-UVGOX,Male,0,Yes,Yes,71,DSL,Two year,Bank transfer (automatic),85.45,6029.9,0,0,1.21737759698971,Low Risk
4317-VTEOA,Male,0,No,No,1,DSL,Month-to-month,Electronic check,50.75,50.75,1,1,74.24970360918633,High Risk
2725-TTRIQ,Female,0,Yes,Yes,72,DSL,Two year,Bank transfer (automatic),84.2,5986.55,0,0,2.887760003872276,Low Risk
0307-BCOPK,Female,0,No,No,16,No,One year,Mailed check,19.05,326.65,0,0,8.349451009656505,Low Risk
6372-RFVNS,Female,0,Yes,No,1,Fiber optic,Month-to-month,Electronic check,78.8,78.8,1,1,88.40598663481211,High Risk
4749-OJKQU,Female,0,No,No,4,Fiber optic,Month-to-month,Electronic check,75.65,302.35,0,1,90.91760797591265,High Risk
5575-TPIZQ,Male,0,No,No,46,Fiber optic,Month-to-month,Credit card (automatic),89.15,4245.55,0,1,50.66144103111441,Medium Risk
7706-DZNKK,Male,0,No,No,11,No,Month-to-month,Credit card (automatic),20.45,237.3,0,0,41.22772321500943,Medium Risk
8092-NLTGF,Male,0,No,No,72,No,Two year,Bank transfer (automatic),24.75,1777.6,0,0,0.9334958086664238,Low Risk
6295-OSINB,Male,0,Yes,No,72,Fiber optic,Two year,Electronic check,109.65,7880.25,0,0,21.511905982672474,Low Risk
1956-YIFGE,Male,0,Yes,Yes,22,Fiber optic,One year,Mailed check,100.05,2090.25,0,0,38.26701357598131,Low Risk
6463-MVYRY,Female,1,No,No,57,DSL,Two year,Bank transfer (automatic),69.85,4003.0,0,0,2.94542419253168,Low Risk
4695-VADHF,Male,0,Yes,Yes,18,DSL,Month-to-month,Electronic check,57.45,990.85,1,0,43.48897204047138,Medium Risk
5630-IXDXV,Female,0,No,No,47,Fiber optic,Month-to-month,Electronic check,106.35,4849.1,0,1,70.3889393841547,High Risk
0813-TAXXS,Male,0,No,No,55,DSL,Two year,Bank transfer (automatic),77.8,4323.35,0,0,17.80823001715731,Low Risk
4445-ZJNMU,Male,0,No,No,9,Fiber optic,Month-to-month,Credit card (automatic),99.3,918.75,0,1,90.15120933165555,High Risk
5356-KZCKT,Male,0,No,No,58,No,Two year,Credit card (automatic),24.45,1513.6,0,0,3.1079899735104823,Low Risk
4644-PIZRT,Male,0,Yes,Yes,17,DSL,One year,Bank transfer (automatic),70.35,1201.65,0,0,20.511229439283426,Low Risk
8181-YHCMF,Female,0,Yes,Yes,68,DSL,Two year,Credit card (automatic),60.3,4109.0,0,0,3.6083235951246087,Low Risk
0742-MOABM,Male,0,Yes,No,4,DSL,Month-to-month,Mailed check,50.05,179.35,1,0,47.71930967186236,Medium Risk
6362-QHAFM,Male,0,Yes,No,42,Fiber optic,One year,Electronic check,108.3,4586.15,0,0,49.56243975178137,Medium Risk
3161-ONRWK,Male,0,Yes,Yes,60,DSL,One year,Bank transfer (automatic),65.85,3928.3,0,0,2.886057190596681,Low Risk
0952-KMEEH,Male,0,No,No,13,Fiber optic,Month-to-month,Mailed check,98.15,1230.25,1,1,70.18497786683736,High Risk
6047-SUHPR,Male,0,Yes,Yes,39,DSL,One year,Electronic check,59.8,2343.85,0,0,5.405357979525365,Low Risk
4412-YLTKF,Female,1,No,No,27,Fiber optic,Month-to-month,Electronic check,78.05,2135.5,1,1,79.677879217957,High Risk
1227-UDMZR,Female,0,Yes,No,72,DSL,Two year,Bank transfer (automatic),91.15,6637.9,0,0,3.4016002180847527,Low Risk
1223-UNPKS,Male,0,Yes,Yes,20,No,Two year,Mailed check,20.05,400.0,0,0,2.238636579044275,Low Risk
7762-ONLJY,Female,0,Yes,Yes,6,No,One year,Mailed check,19.7,94.45,0,0,14.411566252514731,Low Risk
0430-IHCDJ,Male,0,No,No,15,DSL,Month-to-month,Electronic check,49.0,749.25,0,1,63.96280237926607,Medium Risk
4967-WPNCF,Male,0,No,No,72,DSL,Two year,Bank transfer (automatic),63.7,4464.8,0,0,3.5681354270051333,Low Risk
3021-VLNRJ,Female,0,No,Yes,50,DSL,One year,Credit card (automatic),70.8,3478.15,0,0,7.564303590897356,Low Risk
9103-TCIHJ,Female,0,No,No,15,DSL,Month-to-month,Mailed check,55.7,899.8,1,0,40.54423233826812,Medium Risk
0835-JKADZ,Female,0,No,No,71,Fiber optic,Two year,Electronic check,111.25,7984.15,0,0,22.75331254260581,Low Risk
2346-DJQTB,Female,0,No,No,35,DSL,Month-to-month,Electronic check,24.15,812.5,0,0,39.364544953971254,Low Risk
3301-LSLWQ,Female,0,No,No,29,DSL,Month-to-month,Electronic check,66.1,1912.15,0,0,49.105472736435416,Medium Risk
5970-GHJAW,Male,0,Yes,Yes,46,No,Two year,Credit card (automatic),19.95,862.4,0,0,0.8546696295452526,Low Risk
2834-JKOOW,Female,0,No,No,15,DSL,One year,Mailed check,45.9,693.45,0,0,11.835226385970854,Low Risk
2188-SXWVT,Female,0,No,No,34,DSL,One year,Mailed check,55.0,1885.15,0,0,5.729144602371791,Low Risk
8421-WZOOW,Female,1,Yes,Yes,57,Fiber optic,Month-to-month,Credit card (automatic),95.3,5567.45,0,0,38.99323567190659,Low Risk
9968-FFVVH,Male,0,No,No,63,DSL,One year,Bank transfer (automatic),68.8,4111.35,0,0,3.9808343869866043,Low Risk
1391-UBDAR,Male,0,No,No,11,Fiber optic,Month-to-month,Electronic check,72.9,818.45,0,1,80.65735293696851,High Risk
0134-XWXCE,Female,1,No,No,44,DSL,One year,Bank transfer (automatic),74.85,3268.05,0,0,10.249832129978818,Low Risk
7296-PIXQY,Female,0,Yes,Yes,14,Fiber optic,Month-to-month,Electronic check,70.2,1046.5,0,1,58.25203953245058,Medium Risk
6047-YHPVI,Male,0,No,No,5,Fiber optic,Month-to-month,Electronic check,69.7,316.9,1,1,88.13282320672712,High Risk
0895-LMRSF,Male,0,No,No,23,DSL,One year,Bank transfer (automatic),64.9,1509.8,0,0,31.135335362853517,Low Risk
0004-TLHLJ,Male,0,No,No,4,Fiber optic,Month-to-month,Electronic check,73.9,280.85,1,1,88.5409291609164,High Risk
2907-ILJBN,Female,0,Yes,Yes,11,No,One year,Mailed check,20.6,233.9,0,0,11.115789306060227,Low Risk
7306-YDSOI,Male,0,Yes,Yes,69,DSL,Two year,Bank transfer (automatic),59.75,4069.9,0,0,1.314472597067242,Low Risk
4475-NVTLU,Male,0,Yes,Yes,45,No,Two year,Electronic check,19.2,903.7,0,0,1.1876315650637965,Low Risk
9710-ZUSHQ,Female,1,No,No,37,Fiber optic,Month-to-month,Bank transfer (automatic),106.75,4056.75,1,1,60.55437900591113,Medium Risk
6946-LMSQS,Male,1,Yes,No,25,Fiber optic,One year,Electronic check,89.05,2177.45,1,1,58.3584869272113,Medium Risk
8601-QACRS,Female,0,No,No,5,DSL,Month-to-month,Mailed check,50.6,249.95,1,1,73.90186304734782,High Risk
4231-LZUYM,Female,0,Yes,No,72,No,Two year,Bank transfer (automatic),25.65,1887.0,0,0,0.8917783765874956,Low Risk
8380-PEFPE,Male,0,No,Yes,1,Fiber optic,Month-to-month,Electronic check,71.65,71.65,1,1,84.47611121226431,High Risk
2867-UIMSS,Male,0,No,No,1,Fiber optic,Month-to-month,Electronic check,80.5,80.5,1,1,88.32920629741704,High Risk
9814-AOUDH,Male,0,No,No,53,No,Two year,Credit card (automatic),19.5,1050.5,0,0,1.8735415856733444,Low Risk
4032-RMHCI,Female,0,Yes,Yes,41,DSL,One year,Credit card (automatic),35.4,1412.4,0,0,6.70933450396863,Low Risk
1452-KIOVK,Male,0,No,Yes,22,Fiber optic,Month-to-month,Credit card (automatic),89.1,1949.4,0,1,64.9724802003251,Medium Risk
4365-MSDYN,Male,0,Yes,No,8,No,Month-to-month,Bank transfer (automatic),19.55,161.15,0,0,42.948046409099895,Medium Risk
0383-CLDDA,Female,0,No,No,69,DSL,Two year,Credit card (automatic),85.35,5897.4,0,0,5.188175608484399,Low Risk
1293-HHSHJ,Female,0,No,No,35,No,One year,Mailed check,21.1,741.0,0,0,3.96697331529609,Low Risk
9822-OAOVB,Female,0,No,No,1,DSL,Month-to-month,Electronic check,55.45,55.45,0,1,82.37058137850242,High Risk
7249-WBIYX,Male,0,Yes,No,10,Fiber optic,Month-to-month,Electronic check,85.6,813.85,1,1,91.22194997738121,High Risk
6652-YFFJO,Female,0,No,No,11,DSL,Month-to-month,Electronic check,64.9,716.1,0,1,79.9628531701353,High Risk
9128-CPXKI,Female,0,No,No,59,Fiber optic,Two year,Electronic check,95.8,5655.45,0,0,27.20958195384327,Low Risk
5127-BZENZ,Female,0,Yes,Yes,56,DSL,One year,Bank transfer (automatic),65.2,3512.15,0,0,8.197260449086718,Low Risk
5924-SNGKP,Female,0,No,Yes,41,No,One year,Credit card (automatic),20.25,865.0,0,0,3.3234585325000747,Low Risk
2919-HBCJO,Female,0,No,No,4,Fiber optic,Month-to-month,Bank transfer (automatic),76.65,333.6,1,1,78.55672288645962,High Risk
5622-UEJFI,Female,0,Yes,Yes,35,No,Two year,Credit card (automatic),25.4,949.8,0,0,3.201418449430367,Low Risk
2000-MPKCA,Female,0,No,No,58,Fiber optic,One year,Electronic check,107.75,6332.75,0,1,51.313151920783284,Medium Risk
4830-FAXFM,Male,0,No,Yes,19,No,Month-to-month,Credit card (automatic),24.1,439.2,0,0,23.75155935367927,Low Risk
7629-WFGLW,Female,1,Yes,No,56,Fiber optic,One year,Electronic check,95.65,5471.75,0,0,19.968162051528278,Low Risk
6259-WJQLC,Male,1,No,No,32,Fiber optic,Month-to-month,Credit card (automatic),81.1,2619.25,0,1,70.0591098333342,High Risk
4854-CIDCF,Female,1,No,No,3,Fiber optic,Month-to-month,Electronic check,73.85,196.4,0,1,85.80213306914784,High Risk
2074-GUHPQ,Female,0,No,Yes,17,Fiber optic,Month-to-month,Credit card (automatic),92.7,1556.85,0,0,49.8525177264577,Medium Risk
7579-OOPEC,Female,1,Yes,No,2,DSL,Month-to-month,Credit card (automatic),50.15,115.1,1,1,60.966432002479166,Medium Risk
